OBJECTID,Platted_Name,Subdivision,Phase,Section,Case_Number,Recorded_Date,Document1,Document2,Legal_Acres,Recorded_County1,Recorded_County2,Book,Page,Res_Lots,Comm_Lots,Total_Lots,Development_Status,MF_Category,MF_Complex_Name,Accepted_Subd,Addressing_Status,Address_Release_Date,City_Jurisdiction,County_Jurisdiction,Geometry_Source,Subdivision_Category,Platted_Name_UC,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ResLotsApprox
104,Woods Of Whitestone Sec 1,WOODS OF WHITESTONE,,"1",,9/22/1986,8814341,,46.038,Williamson,,J,"102",170,1,171,DEV,,,Yes,REL,,City,W,WCAD,SF,WOODS OF WHITESTONE SEC 1,{42C02722-FE23-4BC2-8D16-6F6AB3D9DC7D},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
105,Ridgewood North,RIDGEWOOD NORTH,,,,11/30/2000,2001067035,,31.643,Williamson,,V,"53",110,0,110,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,RIDGEWOOD NORTH,{1DDDC397-AFE9-445B-9203-0E7999EE4DF8},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
108,North Creek Sec 3C,NORTH CREEK,,3C,,5/12/1998,199932035,,4.024,Williamson,,R,"64",15,0,15,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 3C,{21800645-6D16-42BD-A491-AAAD60EE7E6E},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
109,Mason Creek Sec 5C,MASON CREEK,,5C,,8/20/1997,9737857,,2.734,Williamson,,O,"361",7,0,7,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 5C,{2013F059-7BBC-4629-B179-6D65FF5EBB51},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
110,Ridgewood South Ph 2,RIDGEWOOD SOUTH,"2",,,1/8/2003,2003002172,,39.021,Williamson,,X,"6",139,0,144,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,RIDGEWOOD SOUTH PH 2,{59FDF4A8-C884-4D32-9D09-B731B4EE3269},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
112,Mason Creek Sec 2B,MASON CREEK,,2B,,3/17/1999,2000029900,,6.917,Williamson,,S,"277",31,0,31,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 2B,{9EEEF900-524C-4C19-99D3-BD8907CD4F2A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
113,Timberline West,TIMBERLINE WEST,,,,4/4/1972,0,,46.96,Williamson,,B,"247",93,0,93,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,TIMBERLINE WEST,{61101306-1879-4A00-8CBA-3C647C037C3C},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
114,Horizon Park Sec 5,HORIZON PARK,,"5",,8/1/2001,2001055626,,29.27,Williamson,,U,"377",128,0,128,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HORIZON PARK SEC 5,{56DCCDC0-BB08-43E0-A954-219516AFFEEC},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
116,Highway Village Lots 9-11 Replat,HIGHWAY VILLAGE,,"11",,10/26/2005,200586020,,1.304,Williamson,,AA,"385",3,0,3,DEV,,,Yes,REL,,City,W,WCAD,COM,HIGHWAY VILLAGE LOTS 9-11 REPLAT,{EBAF3DCF-B51D-4F08-94DE-E8C453CFD2A7},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
117,Leander Heights Sec 3 Lot 9 Blk B (Resub),LEANDER HEIGHTS,,"3",,12/15/1998,199940901,,2.51,Williamson,,R,"132",2,0,2,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 3 LOT 9 BLK B (RESUB),{95DA2FA8-91B7-4331-A63A-37DEDDA166C5},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
118,North Creek Sec 3D,NORTH CREEK,,3D,,1/18/2000,2000003776,,12.309,Williamson,,S,"64",33,0,33,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 3D,{3640758C-5160-4ADD-B8B8-632967FF86FB},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
119,Leander Heights Sec 3 Lots 31 And 32 Blk A (Resub),LEANDER HEIGHTS,,"3",,7/13/2000,200046618,,3.67,Williamson,,S,"357",4,0,4,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LEANDER HEIGHTS SEC 3 LOTS 31 AND 32 BLK A (RESUB),{92118829-9CCC-4DD4-B505-D382706D3D4E},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
123,Leander Heights Sec 3,LEANDER HEIGHTS,,"3",,6/8/1970,0,,275.66,Williamson,,B,"130",64,0,64,DEV,,,Yes,REL,,City,W,WCAD,MIX,LEANDER HEIGHTS SEC 3,{02E8DAE0-4E5B-441C-ACFC-59854B75BF4C},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
125,Leander Heights Sec 2 Lots 23 And 24 Blk A (Replat),LEANDER HEIGHTS,,"2",,6/29/1998,9835623,,5.29,Williamson,,Q,"4",3,0,3,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LEANDER HEIGHTS SEC 2 LOTS 23 AND 24 BLK A (REPLAT),{E2206242-66E1-4BDA-A38B-F863B6DB01D4},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
126,Leander Heights Sec 1 Lot 5 Blk F (Replat),LEANDER HEIGHTS,,"1",,4/12/1996,9618753,,2.09,Williamson,,M,"366",0,4,4,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 1 LOT 5 BLK F (REPLAT),{3DF9BF6B-244B-4F4E-A76F-C2C0AE70914D},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
129,Leander Heights Sec 1 Lot 10 Blk F (Resub),LEANDER HEIGHTS,,"1",,5/21/2004,2004049909,,2.1064,Williamson,,Z,"22",1,0,2,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 1 LOT 10 BLK F (RESUB),{B75A6323-13C1-4B9B-8FE6-4F749EE8A671},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
130,"Horizon Park Sec 1 Blocks A, B, R, And T (Amd)",HORIZON PARK,,"1",,3/24/2000,2000018484,,113.774,Williamson,,S,"183",93,0,93,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,"HORIZON PARK SEC 1 BLOCKS A, B, R, AND T (AMD)",{F1D45EDA-C1FC-48B6-8253-6E0BA1383776},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
131,Stehling,STEHLING,,,,8/15/2000,2000082499,,2.0201,Williamson,,T,"255",2,0,2,NONE,N/A,N/A,,,,City,W,WCAD,SF,STEHLING,{C6B75217-ACDA-471D-84AD-5C2EEDF1C313},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
133,Mason Creek Sec 1,MASON CREEK,,"1",,9/10/1985,8534538,,77.93,Williamson,,G,"241",283,3,289,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 1,{0C3FF71F-CDD4-43EA-8150-EB2FEAF0C57F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
134,Leander Heights Sec 2 Lot 1 Blk B (Resub),LEANDER HEIGHTS,,"2",,4/6/1999,9922079,,1.54,Williamson,,R,"23",4,0,4,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LEANDER HEIGHTS SEC 2 LOT 1 BLK B (RESUB),{C629F12A-BD54-4642-B461-BBA4704A1CD8},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
136,Westwood Sec 4,WESTWOOD,,"4",,8/15/2001,2001059859,,11.609,Williamson,,V,"3",45,0,45,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTWOOD SEC 4,{A18B565D-B234-4229-AB33-49C856E2DB65},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
137,Highlands At Crystal Falls Sec 1 Ph 1,HIGHLANDS AT CRYSTAL FALLS,,"1",,10/12/2006,0,,43.835,Williamson,,CC,"224",102,0,105,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HIGHLANDS AT CRYSTAL FALLS SEC 1 PH 1,{A1F9129C-4297-4774-9BAC-F7B556997E07},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
138,Mason Creek Sec 5D,MASON CREEK,,5D,,8/19/1997,9737878,,1.023,Williamson,,O,"363",4,0,4,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 5D,{930E7878-616F-4E29-BEBC-EAC9B2D325B5},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
139,Walkers Addition To The Original Town Of Leander,WALKERS ADDITION,,,,11/2/1908,,190800010G,0,Williamson,,A,"10",14,0,14,DEV,,,Yes,REL,,City,W,WCAD,MIX,WALKERS ADDITION TO THE ORIGINAL TOWN OF LEANDER,{0E1EE5D3-AD8D-4992-87B8-7C785809707A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
140,Leander Heights Sec 1 Lots 17 - 20 Blk A Resub (Corrected Plat),LEANDER HEIGHTS,,"1",,8/27/1996,9645123,,2.044,Williamson,,N,"222",4,0,4,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 1 LOTS 17 - 20 BLK A RESUB (CORRECTED PLAT),{143A166F-EEF3-47B5-9CCE-BB800B4C95AD},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
141,Leander Heights Sec 1 Lots 1-3 Blk F (Resub),LEANDER HEIGHTS,,"1",,11/5/1986,8645276,,7.121,Williamson,,I,"6",2,0,2,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 1 LOTS 1-3 BLK F (RESUB),{DC99704D-BF38-4E81-8887-D8A791804B12},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
142,Leander Heights Sec 1 Lot 42 Blk B (Amd),LEANDER HEIGHTS,,"1",,10/23/1995,9660521,,0.493,Williamson,,N,"351",2,0,2,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LEANDER HEIGHTS SEC 1 LOT 42 BLK B (AMD),{B56033E4-9912-4630-BBC2-BCA864184231},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
144,Oak Ridge Sec 3B,OAK RIDGE,,3B,,8/20/1998,9855369,,2.23,Williamson,,Q,"121",8,0,8,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OAK RIDGE SEC 3B,{0129BC14-5D12-4D31-998A-7E656F71C599},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
147,Lakeline Apartments,LAKELINE APARTMENTS,,,,11/27/2001,2003066958,,31.587,Williamson,,X,"333",0,2,2,DEV,APT,Lakeline Apartments,Yes,REL,,City,W,WCAD,MULTI,LAKELINE APARTMENTS,{568D3ED5-CF58-4B1B-9848-264E80EA1627},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
152,Vista Ridge Ph 4,VISTA RIDGE,"4",,,9/3/2007,2007076626,,20.924,Williamson,,DD,"308",69,0,70,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,VISTA RIDGE PH 4,{30A51525-0D30-4424-B4E4-C4F787D63654},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
153,Leander Library Homestead,LEANDER PUBLIC LIBRARY,,,,6/13/2006,2006048667,,3.47,Williamson,,BB,"390",0,1,1,DEV,,,Yes,REL,,City,W,WCAD,CIV,LEANDER LIBRARY HOMESTEAD,{46EA85C8-F1E6-4B01-B734-B5F9BF3F9546},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
154,Mason Ranch Ph 2 Sec 4 Amd,MASON RANCH,"2","4",,10/9/2018,2018090220,,20.041,Williamson,,,,42,0,45,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON RANCH PH 2 SEC 4 AMD,{6BE2D16D-74F3-4451-B03B-5F53ED42748E},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
155,Timberline West,TIMBERLINE WEST,,,,4/4/1972,0,,46.96,Williamson,,B,"247",93,0,93,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,TIMBERLINE WEST,{9E49C6ED-82B5-42A8-98D5-640CA182FCA3},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
160,Mansolo,MANSOLO,,,,8/3/2006,2006066087,,3.256,Williamson,,CC,"85",0,2,2,DEV,,,Yes,REL,,City,W,WCAD,COM,MANSOLO,{BD50FFE4-F757-4A5F-A731-6F03049CC36C},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
162,Mason Creek Sec 1 Lots 8 And 9 Block M Amd,MASON CREEK,,"1",,2/16/2001,2001018463,,0,Williamson,,U,"89",2,0,2,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 1 LOTS 8 AND 9 BLOCK M AMD,{65403B13-D5AA-4C3D-ABAB-724CEBF866BE},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
163,Hernados Hideaway,HERNADOS HIDEAWAY,,,,10/17/1968,0,,19.44,Williamson,,B,"69",41,0,41,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HERNADOS HIDEAWAY,{DEAF4E55-E8B9-4526-B1CF-6B27289D775D},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
164,Lakeline Ranch Ph 3B,LAKELINE RANCH,3B,"3",,11/10/2005,2006047528,,11.332,Williamson,,BB,"384",39,0,39,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LAKELINE RANCH PH 3B,{3DFC9368-8D92-4700-9A99-A1B675DB192F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
165,Stillmeadow,STILLMEADOW,,,,2/3/1984,8403663,,5.884,Williamson,,E,"360",4,0,4,NONE,N/A,N/A,,REL,,City,W,WCAD,SF,STILLMEADOW,{F1F44D1F-9FFD-4D11-A2B8-2118A73C5BBE},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
166,Leander Heights Sec 1 Lot 22 Blk A (Resub),LEANDER HEIGHTS,,"1",,12/21/1989,8936020,,0.82,Williamson,,J,"279",2,0,2,DEV,,,,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 1 LOT 22 BLK A (RESUB),{3DFEA440-DB0A-41C6-839C-F131D82B2B6A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
167,Oak Ridge Sec 3A,OAK RIDGE,,3A,,6/1/1998,9839442,,3.372,Williamson,,Q,"14",20,0,20,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OAK RIDGE SEC 3A,{3E79071C-29D8-4189-A939-4C541653BD2D},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
169,Westwood Sec 2,WESTWOOD,,"2",,3/21/2001,2001018438,,35.448,Williamson,,U,"85",92,0,94,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTWOOD SEC 2,{45776EBB-2378-44F5-A1EF-B317A9913176},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
170,Crystal Springs Ph 2 Sec 2,CRYSTAL SPRINGS,"2","2",,2/28/2019,2019083397,,17.124,Williamson,,,,54,0,59,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,CRYSTAL SPRINGS PH 2 SEC 2,{91701A75-6572-4C7E-A7D8-6A031DC2D463},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
171,Woods At Crystal Falls Sec 1,WOODS AT CRYSTAL FALLS,"1","1",,2/17/2004,2004012659,,1.214,Williamson,,Y,"226",6,0,6,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WOODS AT CRYSTAL FALLS SEC 1,{4846D532-BF29-4358-93FB-B735892851C9},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
172,Westview Meadows Ph 2,WESTVIEW MEADOWS,"2",,,3/4/2004,2004016725,,35.539,Williamson,,Y,"242",141,0,141,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTVIEW MEADOWS PH 2,{6268BBAE-9D4D-4596-99C1-237E98662BC0},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
174,Vista Ridge Commercial Including The Replat Of Lot 1 Shin Oak Estates Sec 1,VISTA RIDGE,,"1",,5/1/2007,2007036063,,4.7054,Williamson,,DD,"91",1,0,1,NONE,,,,REL,,City,W,WCAD,COM,VISTA RIDGE COMMERCIAL INCLUDING THE REPLAT OF LOT 1 SHIN OAK ESTATES SEC 1,{53026E61-3133-4EA2-B46D-E20D80E9DAB2},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
175,Westwood Sec 5,WESTWOOD,,"5",,6/17/2002,2002045516,,16.067,Williamson,,W,"66",78,0,78,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTWOOD SEC 5,{4F035980-53C7-4C85-9522-21688E04A60B},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
176,North Creek Sec 3A,NORTH CREEK,,3A,,2/5/1999,9907820,,14.342,Williamson,,"0","323",61,0,61,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 3A,{6E92B1EE-3EFB-44B1-8B73-4DFEFABE47FC},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
178,Leander Heights Sec 3 Lot 26 Blk A (Resub),LEANDER HEIGHTS,,"3",,2/26/1997,9708174,,3.39,Williamson,,"0","114",1,0,1,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 3 LOT 26 BLK A (RESUB),{905BA8E1-7D6B-4791-B5B1-45F003462799},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
180,Old Town Village Sec 2B,OLD TOWN VILLAGE,,2B,,12/10/2001,2001091528,,5.905,Williamson,,V,"181",27,0,27,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OLD TOWN VILLAGE SEC 2B,{B8226970-912C-47B2-9E9B-B2F8A28CB84E},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
181,Highlands At Crystal Falls Sec 1 Ph 4,HIGHLANDS AT CRYSTAL FALLS,"4","1",,10/12/2017,2017101111,,1.216,Williamson,,,,2,0,3,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HIGHLANDS AT CRYSTAL FALLS SEC 1 PH 4,{8C45E891-84E3-4E37-B568-AC0C56F36FDD},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
182,Old Town Village Sec 2A,OLD TOWN VILLAGE,,2A,,12/10/2001,2001091345,,12.202,Williamson,,V,"178",24,0,24,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OLD TOWN VILLAGE SEC 2A,{F9EC592A-7510-4448-AA74-12FDB4140D5A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
183,Whilden Addition,WHILDEN ADDITION,,,,3/19/2007,2007022277,,0.718,Williamson,,DD,"54",0,2,2,DEV,,,Yes,REL,,City,W,WCAD,CIV,WHILDEN ADDITION,{36531E2D-C9CF-4F13-B367-F78B71641569},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
185,Old Town Village Sec 3,OLD TOWN VILLAGE,,"3",,2/19/2004,2004012830,,20.94,Williamson,,Y,"228",83,0,83,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OLD TOWN VILLAGE SEC 3,{91CC28EA-8125-42A7-BB85-C3E1D67E9CB5},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
186,Leander Heights Sec 1 Lots 1 - 3 Block B (Amd),LEANDER HEIGHTS,,"1",,4/23/2008,2008030879,,0,Williamson,,EE,"257",3,0,3,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 1 LOTS 1 - 3 BLOCK B (AMD),{365E2763-AA24-4447-BBED-6F7F69C32707},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
187,Mason Creek Sec 5B,MASON CREEK,,5B,,3/17/1999,2000029901,,2.655,Williamson,,S,"279",7,0,7,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 5B,{8F006ADB-5F29-45F3-B630-D98F64AC7CCA},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
188,Leander Heights Sec 2 Lot 24 Blk B (Resub),LEANDER HEIGHTS,,"2",,12/13/2001,2002029028,,2.05,Williamson,,V,"356",2,0,2,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LEANDER HEIGHTS SEC 2 LOT 24 BLK B (RESUB),{EB239FC3-299B-41FD-B0C6-D68993F9E77C},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
189,Lakeline Ranch Ph 2,LAKELINE RANCH,"2","2",,8/12/2004,2004073314,,21.062,Williamson,,Z,"111",78,0,78,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LAKELINE RANCH PH 2,{BFB7F820-0FA6-4F95-A45C-736AE8303328},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
190,Marbella Ph 2,MARBELLA,"2","2",,9/26/2019,2019104144,,28.951,Williamson,,,,78,0,82,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MARBELLA PH 2,{242DD339-AB36-4DCE-9D60-ADD5B924ABD9},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
191,Leander Heights Sec 1,LEANDER HEIGHTS,,"1",,10/6/1969,0,,167.41,Williamson,,B,"102",207,0,207,DEV,,N/A,Yes,REL,,City,W,WCAD,SF,LEANDER HEIGHTS SEC 1,{DD4435FA-30A7-46CD-9F72-82926C66665B},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
192,Highway Village Unit 2,HIGHWAY VILLAGE,,"2",,8/17/1967,0,,9.27,Williamson,,B,"41",21,0,21,DEV,,,Yes,REL,,City,W,WCAD,MIX,HIGHWAY VILLAGE UNIT 2,{76A16697-EEE6-47E5-9230-A6712C83D6E6},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
193,Hawkes Landing Ph 2,HAWKES LANDING,"2","2",,5/3/2018,2018037659,,4.589,Williamson,,,,19,0,19,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HAWKES LANDING PH 2,{70B43EF1-7844-49D0-8DCB-4010F90FED1E},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
194,Integrated Metal Products,INTEGRATED METAL PRODUCTS,,,,9/20/2004,2004073315,,5,Williamson,,Z,"114",0,2,2,DEV,,,Yes,REL,,City,W,WCAD,COM,INTEGRATED METAL PRODUCTS,{49856266-42D8-4E8C-AC1A-2471191CF55E},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
195,Mason Creek Sec 2A,MASON CREEK,,2A,,1/17/1995,99702215,,14.16,Williamson,,O,"64",56,0,56,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 2A,{2D94AA7F-B571-48C1-A47E-0D583A0F3463},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
196,Hawkes Landing Ph 1,HAWKES LANDING,"1","1",,8/14/2014,2014070363,,15.85,Williamson,,,,51,0,53,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HAWKES LANDING PH 1,{6C9B00C6-911F-4A8D-AE25-C073EE4E5051},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
197,Vista Ridge Ph 1,VISTA RIDGE,"1",,,5/24/2001,2002006911,,38.1668,Williamson,,V,"241",137,0,137,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,VISTA RIDGE PH 1,{AB4AE95A-8B27-4BB5-8850-AEE63FD92302},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
198,Highlands At Crystal Falls Commercial Corners,HIGHLANDS AT CRYSTAL FALLS,,Corners,,8/11/2008,2008062341,,4.242,Williamson,,FF,"15",0,2,2,ADDR,,,,REL,,City,W,WCAD,COM,HIGHLANDS AT CRYSTAL FALLS COMMERCIAL CORNERS,{36C09D40-D0AB-47EA-8253-A5A9B5C05497},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
